L,margin_rho_over_chi,discount_tau_over_rho,beta_concentration,key,seed,waste_base,waste_tgtg,delta_waste,profit_base,profit_tgtg,delta_profit,prod_base,prod_tgtg,delta_prod,b_star,waste_base_per_day,waste_tgtg_per_day,delta_waste_per_day,prod_base_per_day,prod_tgtg_per_day,delta_prod_per_day
3,1.6,0.15,3.0,L=3|m=1.6|d=0.15|c=3.0,2026,298.9,261.7,-37.19999999999999,31.235199999999985,30.02560000000001,-1.2095999999999698,3400.0,3200.0,-200.0,0.0,5.978,5.234,-0.7439999999999998,68.0,64.0,-4.0
3,1.6,0.15,5.0,L=3|m=1.6|d=0.15|c=5.0,2039,328.45,337.05,8.600000000000023,45.88960000000004,46.214400000000005,0.3247999999999678,4700.0,4750.0,50.0,0.0,6.569,6.7410000000000005,0.1720000000000004,94.0,95.0,1.0
3,1.6,0.15,10.0,L=3|m=1.6|d=0.15|c=10.0,2052,576.95,646.85,69.89999999999998,69.13759999999996,69.90079999999998,0.7632000000000119,7300.0,7550.0,250.0,0.0,11.539,12.937,1.3979999999999997,146.0,151.0,5.0
3,1.6,0.15,20.0,L=3|m=1.6|d=0.15|c=20.0,2065,308.15,289.9,-18.25,83.73919999999998,83.12320000000004,-0.6159999999999428,7800.0,7700.0,-100.0,0.0,6.162999999999999,5.797999999999999,-0.365,156.0,154.0,-2.0
3,1.6,0.25,3.0,L=3|m=1.6|d=0.25|c=3.0,2104,405.25,291.1,-114.14999999999998,34.43200000000002,30.88480000000002,-3.547200000000004,3950.0,3350.0,-600.0,0.0,8.105,5.822,-2.2829999999999995,79.0,67.0,-12.0
3,1.6,0.15,50.0,L=3|m=1.6|d=0.15|c=50.0,2078,193.15,227.1,33.94999999999999,96.41920000000002,97.1328,0.7135999999999854,8550.0,8700.0,150.0,0.0,3.863,4.542,0.6789999999999998,171.0,174.0,3.0
3,1.6,0.25,5.0,L=3|m=1.6|d=0.25|c=5.0,2117,549.95,538.2,-11.75,55.001599999999975,54.77760000000001,-0.2239999999999682,6050.0,6000.0,-50.0,0.0,10.999,10.764,-0.235,121.0,120.0,-1.0
3,1.6,0.15,100.0,L=3|m=1.6|d=0.15|c=100.0,2091,137.6,137.6,0.0,100.5968,100.5968,0.0,8750.0,8750.0,0.0,0.0,2.752,2.752,0.0,175.0,175.0,0.0
3,1.6,0.25,10.0,L=3|m=1.6|d=0.25|c=10.0,2130,387.85,421.8,33.94999999999999,70.38880000000005,71.10239999999996,0.7135999999999143,6900.0,7050.0,150.0,0.0,7.757000000000001,8.436,0.6789999999999998,138.0,141.0,3.0
3,1.6,0.25,20.0,L=3|m=1.6|d=0.25|c=20.0,2143,445.05,529.25,84.19999999999999,86.55840000000006,87.46400000000003,0.9055999999999642,8400.0,8700.0,300.0,0.0,8.901,10.585,1.6839999999999995,168.0,174.0,6.0
3,1.6,0.25,100.0,L=3|m=1.6|d=0.25|c=100.0,2169,174.9,188.8,13.900000000000006,103.60319999999994,103.75840000000004,0.1552000000001072,9100.0,9150.0,50.0,0.0,3.498,3.776,0.2780000000000001,182.0,183.0,1.0
3,1.6,0.25,50.0,L=3|m=1.6|d=0.25|c=50.0,2156,241.5,228.7,-12.800000000000011,97.872,97.6816,-0.190400000000011,8800.0,8750.0,-50.0,0.0,4.83,4.574,-0.2560000000000002,176.0,175.0,-1.0
3,1.6,0.35,3.0,L=3|m=1.6|d=0.35|c=3.0,2182,673.0,585.25,-87.75,37.26399999999999,35.87199999999998,-1.39200000000001,4900.0,4550.0,-350.0,0.0,13.46,11.705,-1.755,98.0,91.0,-7.0
3,1.6,0.35,5.0,L=3|m=1.6|d=0.35|c=5.0,2195,526.95,560.65,33.69999999999993,48.53760000000004,49.25920000000001,0.7215999999999667,5450.0,5600.0,150.0,0.0,10.539,11.213,0.6739999999999986,109.0,112.0,3.0
3,1.6,0.35,10.0,L=3|m=1.6|d=0.35|c=10.0,2208,365.0,337.3,-27.69999999999999,63.91999999999996,63.00640000000004,-0.9135999999999171,6300.0,6150.0,-150.0,0.0,7.3,6.746,-0.5539999999999998,126.0,123.0,-3.0
3,1.6,0.35,20.0,L=3|m=1.6|d=0.35|c=20.0,2221,438.7,466.1,27.400000000000038,83.76160000000006,84.0848,0.3231999999999431,8150.0,8250.0,100.0,0.0,8.774,9.322,0.5480000000000007,163.0,165.0,2.0
3,1.6,0.35,50.0,L=3|m=1.6|d=0.35|c=50.0,2234,167.25,157.3,-9.949999999999989,95.44800000000006,95.16639999999994,-0.2816000000001253,8400.0,8350.0,-50.0,0.0,3.345,3.1460000000000004,-0.1989999999999997,168.0,167.0,-1.0
3,1.6,0.5,3.0,L=3|m=1.6|d=0.5|c=3.0,2260,523.7,501.4,-22.300000000000068,34.241600000000005,33.75519999999998,-0.4864000000000246,4250.0,4150.0,-100.0,0.0,10.474,10.028,-0.4460000000000013,85.0,83.0,-2.0
3,1.6,0.35,100.0,L=3|m=1.6|d=0.35|c=100.0,2247,153.75,141.6,-12.150000000000006,103.08,102.8688,-0.2112000000000051,9000.0,8950.0,-50.0,0.0,3.075,2.832,-0.2430000000000001,180.0,179.0,-1.0
3,1.6,0.5,5.0,L=3|m=1.6|d=0.5|c=5.0,2273,351.25,350.25,-1.0,44.56,44.592,0.0320000000000035,4650.0,4650.0,0.0,0.0,7.025,7.005,-0.02,93.0,93.0,0.0
3,1.6,0.5,10.0,L=3|m=1.6|d=0.5|c=10.0,2286,329.4,320.25,-9.149999999999975,66.25920000000005,65.95199999999997,-0.3072000000000798,6400.0,6350.0,-50.0,0.0,6.587999999999999,6.405,-0.1829999999999995,128.0,127.0,-1.0
3,1.6,0.5,20.0,L=3|m=1.6|d=0.5|c=20.0,2299,541.7,531.85,-9.850000000000025,87.66559999999998,87.38080000000002,-0.2847999999999615,8750.0,8700.0,-50.0,0.0,10.834,10.637,-0.1970000000000004,175.0,174.0,-1.0
3,1.6,0.5,50.0,L=3|m=1.6|d=0.5|c=50.0,2312,378.8,328.7,-50.10000000000002,98.2784,98.0816,-0.1967999999999818,9200.0,9050.0,-150.0,0.0,7.576,6.574,-1.0020000000000004,184.0,181.0,-3.0
3,1.6,0.5,100.0,L=3|m=1.6|d=0.5|c=100.0,2325,116.1,93.25,-22.849999999999994,101.2848,100.21599999999992,-1.068800000000067,8750.0,8600.0,-150.0,0.0,2.322,1.865,-0.4569999999999999,175.0,172.0,-3.0
3,1.6,0.7,3.0,L=3|m=1.6|d=0.7|c=3.0,2338,438.65,215.95,-222.7,33.36320000000002,69.64959999999996,36.28639999999994,3950.0,20700.0,16750.0,0.8661705768058588,8.773,4.319,-4.454,79.0,414.0,335.0
3,1.6,0.7,5.0,L=3|m=1.6|d=0.7|c=5.0,2351,457.75,385.05,-72.69999999999999,45.95199999999998,83.19839999999999,37.246400000000015,5050.0,21000.0,15950.0,0.776798512521779,9.155,7.701,-1.4539999999999995,101.0,420.0,319.0
3,1.6,0.7,10.0,L=3|m=1.6|d=0.7|c=10.0,2364,359.8,308.8,-51.0,67.08639999999998,100.99840000000005,33.91200000000006,6550.0,21000.0,14450.0,0.7009569036851894,7.196000000000001,6.176,-1.02,131.0,420.0,289.0
3,1.6,0.7,20.0,L=3|m=1.6|d=0.7|c=20.0,2377,376.85,315.95,-60.900000000000034,85.74080000000006,116.12959999999993,30.388799999999847,8150.0,21000.0,12850.0,0.6255360165439661,7.537000000000001,6.319,-1.2180000000000006,163.0,420.0,257.0
3,1.6,0.7,50.0,L=3|m=1.6|d=0.7|c=50.0,2390,247.1,189.9,-57.19999999999999,97.0928,126.4031999999999,29.310399999999905,8750.0,21000.0,12250.0,0.5939979169017683,4.942,3.798,-1.1439999999999997,175.0,420.0,245.0
3,2.0,0.15,3.0,L=3|m=2.0|d=0.15|c=3.0,2416,883.5,813.45,-70.04999999999995,81.66,79.462,-2.1979999999999933,5850.0,5600.0,-250.0,0.0,17.67,16.269000000000002,-1.4009999999999991,117.0,112.0,-5.0
3,1.6,0.7,100.0,L=3|m=1.6|d=0.7|c=100.0,2403,112.7,94.3,-18.40000000000001,103.19360000000006,131.86240000000006,28.668800000000005,8900.0,21000.0,12100.0,0.5812534033456296,2.254,1.886,-0.3680000000000001,178.0,420.0,242.0
3,2.0,0.15,5.0,L=3|m=2.0|d=0.15|c=5.0,2429,721.55,721.15,-0.3999999999999772,100.138,100.154,0.0159999999999911,6450.0,6450.0,0.0,0.0,14.431,14.423,-0.0079999999999995,129.0,129.0,0.0
3,2.0,0.15,10.0,L=3|m=2.0|d=0.15|c=10.0,2442,935.55,732.95,-202.5999999999999,141.578,138.68199999999996,-2.8960000000000434,8950.0,8400.0,-550.0,0.0,18.711,14.659,-4.051999999999998,179.0,168.0,-11.0
3,2.0,0.15,20.0,L=3|m=2.0|d=0.15|c=20.0,2455,618.5,581.35,-37.14999999999998,153.26,152.746,-0.5139999999999816,8900.0,8800.0,-100.0,0.0,12.37,11.627,-0.7429999999999995,178.0,176.0,-2.0
3,2.0,0.15,50.0,L=3|m=2.0|d=0.15|c=50.0,2468,289.85,275.15,-14.700000000000044,167.406,166.994,-0.4120000000000061,8950.0,8900.0,-50.0,0.0,5.797000000000001,5.502999999999999,-0.2940000000000009,179.0,178.0,-1.0
3,2.0,0.15,100.0,L=3|m=2.0|d=0.15|c=100.0,2481,175.75,175.75,0.0,172.97,172.97,0.0,9000.0,9000.0,0.0,0.0,3.515,3.515,0.0,180.0,180.0,0.0
3,2.0,0.25,3.0,L=3|m=2.0|d=0.25|c=3.0,2494,543.5,497.95,-45.55000000000001,66.26,64.082,-2.1780000000000115,4400.0,4200.0,-200.0,0.0,10.87,9.959,-0.9110000000000004,88.0,84.0,-4.0
3,2.0,0.25,5.0,L=3|m=2.0|d=0.25|c=5.0,2507,1390.15,1308.95,-81.20000000000005,109.394,108.642,-0.7519999999999953,8250.0,8050.0,-200.0,0.0,27.803,26.179,-1.624000000000001,165.0,161.0,-4.0
3,2.0,0.25,10.0,L=3|m=2.0|d=0.25|c=10.0,2520,759.05,776.0,16.950000000000045,135.63799999999998,135.95999999999998,0.3220000000000027,8300.0,8350.0,50.0,0.0030457702084085,15.181,15.52,0.3390000000000009,166.0,167.0,1.0
3,2.0,0.25,20.0,L=3|m=2.0|d=0.25|c=20.0,2533,716.2,801.25,85.04999999999995,157.352,157.95000000000002,0.5980000000000132,9300.0,9500.0,200.0,0.0,14.324000000000002,16.025,1.7009999999999992,186.0,190.0,4.0
3,2.0,0.25,50.0,L=3|m=2.0|d=0.25|c=50.0,2546,369.85,351.05,-18.80000000000001,168.20600000000002,167.958,-0.2480000000000188,9150.0,9100.0,-50.0,0.0,7.397,7.021,-0.3760000000000002,183.0,182.0,-1.0
3,2.0,0.35,3.0,L=3|m=2.0|d=0.35|c=3.0,2572,728.8,705.8,-23.0,71.84799999999998,71.768,-0.079999999999984,5050.0,5000.0,-50.0,0.0,14.576,14.116,-0.46,101.0,100.0,-1.0
3,2.0,0.25,100.0,L=3|m=2.0|d=0.25|c=100.0,2559,289.2,290.6,1.400000000000034,176.43200000000002,176.37600000000003,-0.0559999999999831,9400.0,9400.0,0.0,0.0,5.784,5.812,0.0280000000000006,188.0,188.0,0.0
3,2.0,0.35,5.0,L=3|m=2.0|d=0.35|c=5.0,2585,867.7,852.95,-14.75,103.292,102.88200000000002,-0.4099999999999681,6900.0,6850.0,-50.0,0.0,17.354,17.059,-0.295,138.0,137.0,-1.0
3,2.0,0.35,10.0,L=3|m=2.0|d=0.35|c=10.0,2598,789.0,823.2,34.200000000000045,132.44,133.072,0.632000000000005,8200.0,8300.0,100.0,0.0,15.78,16.464000000000002,0.6840000000000009,164.0,166.0,2.0
3,2.0,0.35,20.0,L=3|m=2.0|d=0.35|c=20.0,2611,509.4,525.35,15.950000000000044,149.62399999999997,149.98600000000002,0.3620000000000516,8500.0,8550.0,50.0,0.0,10.188,10.507,0.3190000000000009,170.0,171.0,1.0
3,2.0,0.35,50.0,L=3|m=2.0|d=0.35|c=50.0,2624,240.8,241.0,0.1999999999999886,166.368,166.36,-0.0080000000000097,8800.0,8800.0,0.0,0.0,4.816,4.82,0.0039999999999997,176.0,176.0,0.0
3,2.0,0.35,100.0,L=3|m=2.0|d=0.35|c=100.0,2637,178.25,151.65,-26.599999999999994,173.86999999999998,172.93400000000003,-0.9359999999999502,9050.0,8950.0,-100.0,0.0,3.565,3.033,-0.5319999999999999,181.0,179.0,-2.0
3,2.0,0.5,3.0,L=3|m=2.0|d=0.5|c=3.0,2650,895.25,968.3,73.04999999999995,74.19,76.268,2.078000000000003,5500.0,14100.0,8600.0,0.5950623354082409,17.905,19.366,1.4609999999999992,110.0,282.0,172.0
3,2.0,0.5,5.0,L=3|m=2.0|d=0.5|c=5.0,2663,775.85,804.7,28.850000000000023,95.966,96.812,0.8460000000000036,6350.0,10350.0,4000.0,0.3779004140112587,15.517,16.094,0.5770000000000004,127.0,207.0,80.0
3,2.0,0.5,10.0,L=3|m=2.0|d=0.5|c=10.0,2676,762.75,761.55,-1.2000000000000457,132.48999999999998,133.538,1.0480000000000302,8150.0,11700.0,3550.0,0.3008075854062751,15.255,15.231,-0.0240000000000009,163.0,234.0,71.0
3,2.0,0.5,20.0,L=3|m=2.0|d=0.5|c=20.0,2689,477.0,523.05,46.04999999999996,152.92000000000002,154.07800000000003,1.1580000000000157,8600.0,13450.0,4850.0,0.3519338958875249,9.54,10.461,0.920999999999999,172.0,269.0,97.0
3,2.0,0.5,50.0,L=3|m=2.0|d=0.5|c=50.0,2702,426.85,423.45,-3.400000000000034,170.92600000000002,171.062,0.1359999999999956,9400.0,13550.0,4150.0,0.3077369144108678,8.537,8.469,-0.0680000000000006,188.0,271.0,83.0
3,2.0,0.7,3.0,L=3|m=2.0|d=0.7|c=3.0,2728,772.35,134.0,-638.35,76.10600000000001,190.24000000000015,114.13400000000016,5350.0,21000.0,15650.0,0.8926491636654827,15.447,2.68,-12.767,107.0,420.0,313.0
3,2.0,0.5,100.0,L=3|m=2.0|d=0.5|c=100.0,2715,226.35,241.8,15.450000000000015,175.94599999999997,176.328,0.3820000000000334,9250.0,12600.0,3350.0,0.2635356075958198,4.527,4.836,0.3090000000000003,185.0,252.0,67.0
3,2.0,0.7,5.0,L=3|m=2.0|d=0.7|c=5.0,2741,1018.85,215.9,-802.95,105.246,207.96400000000017,102.71800000000016,7300.0,21000.0,13700.0,0.8078695804772043,20.377,4.3180000000000005,-16.059,146.0,420.0,274.0
3,2.0,0.7,10.0,L=3|m=2.0|d=0.7|c=10.0,2754,708.1,311.35,-396.75,130.67600000000002,231.74600000000012,101.07000000000014,7950.0,21000.0,13050.0,0.6985275635568603,14.162,6.227,-7.935,159.0,420.0,261.0
3,2.0,0.7,20.0,L=3|m=2.0|d=0.7|c=20.0,2767,464.25,269.75,-194.5,147.43,246.60999999999976,99.17999999999977,8300.0,21000.0,12700.0,0.6467924063490822,9.285,5.395,-3.89,166.0,420.0,254.0
3,2.0,0.7,50.0,L=3|m=2.0|d=0.7|c=50.0,2780,324.9,199.9,-124.99999999999996,168.004,263.20400000000024,95.20000000000024,9050.0,21000.0,11950.0,0.5924529955488016,6.497999999999999,3.998,-2.5,181.0,420.0,239.0
3,2.0,0.7,100.0,L=3|m=2.0|d=0.7|c=100.0,2793,181.35,59.05,-122.3,174.746,267.63800000000003,92.89200000000002,9100.0,21000.0,11900.0,0.5956425721010199,3.627,1.181,-2.446,182.0,420.0,238.0
3,2.5,0.15,3.0,L=3|m=2.5|d=0.15|c=3.0,2806,1021.5,1053.6,32.09999999999991,128.925,130.31999999999996,1.3949999999999534,6000.0,6100.0,100.0,0.0,20.43,21.072,0.6419999999999981,120.0,122.0,2.0
